barcode,control symbol,title,series,series title,contents dates,contents start year,contents end year,access status,access decision reasons,access decision date
1556042,720/5/5/4 PART 10,France - Nuclear safeguards agreement with Australia - Negotiating history,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1981 - 1981,1981,1981,Closed,Withheld pending adv,2016-04-18 00:00:00
1511676,3107/40/147 PART 39,China - Relations with India,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1981 - 1983,1981,1983,Closed,Withheld pending adv,2016-04-18 00:00:00
548307,3123/2 PART 16,Korea - Consideration of Korean Question by General Assembly,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1974,1973,1974,Closed,Withheld pending adv,2016-04-18 00:00:00
548316,3107/16/3 PART 3,China - Economic - 3rd 5 year Plan & Current Assessment of Chinese Economy - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1971 - 1972,1971,1972,Closed,Withheld pending adv,2016-04-18 00:00:00
1745210,73/1/3/13 PART 23,Yugoslavia - Foreign policy - Extremism - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1979 - 1979,1979,1979,Closed,Withheld pending adv,2016-04-19 00:00:00
1745212,73/1/3/13 PART 25,Yugoslavia - Foreign policy - Extremism - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1979 - 1979,1979,1979,Closed,Withheld pending adv,2016-04-19 00:00:00
1747837,169/11/52 PART 22,India - Relations with USSR [Union of Soviet Socialist Republics],A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1979 - 1980,1979,1980,Closed,Withheld pending adv,2016-04-19 00:00:00
1505161,3020/11/86 PART 2,The Paracel and Spratley Islands,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1978 - 1983,1978,1983,Closed,Withheld pending adv,2016-04-19 00:00:00
1759052,915/20 PART 4,United Nations - Asian - Political - Indian Ocean Committee,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1980 - 1981,1980,1981,Closed,Withheld pending adv,2016-04-19 00:00:00
1505950,3038/11/64 PART 13,East Timor - Relations with Portugal,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1986 - 1987,1986,1987,Closed,Withheld pending adv,2016-04-19 00:00:00
